sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,passed_filters,passed_filters_percent,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_cdhitdup,reads_after_idseq_dedup,reads_after_czid_dedup,host_organism,notes,insert_size_median,insert_size_mode,insert_size_median_absolute_deviation,insert_size_min,insert_size_max,insert_size_mean,insert_size_standard_deviation,insert_size_read_pairs,sample_type,nucleotide_type,collection_date,water_control,collection_location,Project Source,Sample Species
SRR3948550,Lauren Mee,2022-10-21 06:34:29 -0700,COMPLETE,4525,6070626,2465142,40.608,0,1.0,77.296,3.87,4535542,4530898,3505802,"","",905058,Bee,"","","","","","","","","",whole body,RNA,04/2014,No,Panama,PRJNA331103,Megalopta genalis
SRR3948554,Lauren Mee,2022-10-21 06:34:51 -0700,COMPLETE,6219,3411376,1116978,32.743,0,1.0,76.607,2.1,2438528,2435922,1868094,"","",887704,Bee,"","","","","","","","","",whole body,RNA,05/2015,No,Panama,PRJNA331103,Megalopta genalis
SRR3948556,Lauren Mee,2022-10-21 06:35:08 -0700,COMPLETE,5156,4265398,1281184,30.037,0,1.0,70.06,2.29,3049162,3045626,2136242,"","",931440,Bee,"","","","","","","","","",whole body,RNA,04/2014,No,Panama,PRJNA331103,Megalopta genalis
SRR3948560,Lauren Mee,2022-10-21 06:35:28 -0700,COMPLETE,4917,5219642,2240732,42.929,0,1.0,78.972,3.44,4034936,4031878,3186472,"","",927284,Bee,"","","","","","","","","",whole body,RNA,05/2014,No,Panama,PRJNA331103,Megalopta genalis
SRR3948562,Lauren Mee,2022-10-21 06:35:49 -0700,COMPLETE,4028,2427574,876812,36.119,0,1.0,77.116,2.18,1953330,1949556,1506336,"","",689778,Bee,"","","","","","","","","",whole body,RNA,06/2013,No,Panama,PRJNA331103,Megalopta genalis
SRR1503133,Lauren Mee,2022-10-23 03:09:17 -0700,COMPLETE,9301,5171386,3751223,72.538,0,0.610762,86.173,1.14,4976326,4976322,4288264,"","",3752460,Bee,"","","","","","","","","",whole body,RNA,04/2011,No,Germany,PRJNA252330,Nomada lathburiana
SRR2895245,Lauren Mee,2022-10-23 03:09:42 -0700,COMPLETE,5661,8733038,1798654,20.596,0,0.46193,73.695,1.14,7214550,7096338,5316762,"","",4654060,Bee,"","","","","","","","","",whole body,RNA,12/2016,No,Germany,PRJNA285788,Osmia bicornis
SRR2895246,Lauren Mee,2022-10-23 03:10:11 -0700,COMPLETE,3686,1281866,287322,22.414,0,1.0,59.137,1.03,765862,750642,452906,"","",438672,Bee,"","","","","","","","","",whole body,RNA,12/2016,No,Germany,PRJNA285788,Osmia bicornis
SRR2895247,Lauren Mee,2022-10-23 03:10:24 -0700,COMPLETE,3606,1212862,337094,27.793,0,1.0,58.778,1.02,898724,863334,528256,"","",517946,Bee,"","","","","","","","","",whole body,RNA,12/2016,No,Germany,PRJNA285788,Osmia bicornis
SRR2895248,Lauren Mee,2022-10-23 03:10:36 -0700,COMPLETE,3731,1610086,347370,21.575,0,1.0,58.467,1.02,981778,956394,574014,"","",561372,Bee,"","","","","","","","","",whole body,RNA,12/2016,No,Germany,PRJNA285788,Osmia bicornis
SRR2895249,Lauren Mee,2022-10-23 03:10:49 -0700,COMPLETE,3744,1204516,358752,29.784,0,1.0,60.808,1.03,993534,975820,604146,"","",585410,Bee,"","","","","","","","","",whole body,RNA,12/2016,No,Germany,PRJNA285788,Osmia bicornis
SRR2895250,Lauren Mee,2022-10-23 03:11:01 -0700,COMPLETE,3696,1305152,450532,34.52,0,1.0,63.19,1.04,1032858,1013134,652658,"","",626266,Bee,"","","","","","","","","",whole body,RNA,12/2016,No,Germany,PRJNA285788,Osmia bicornis
SRR2895251,Lauren Mee,2022-10-23 03:11:13 -0700,COMPLETE,3603,1344978,391888,29.137,0,1.0,56.95,1.04,1108930,1068262,631538,"","",607440,Bee,"","","","","","","","","",whole body,RNA,12/2016,No,Germany,PRJNA285788,Osmia bicornis
SRR3383870,Lauren Mee,2022-10-23 03:11:26 -0700,COMPLETE,3855,540571,115448,21.357,0,1.0,95.547,1.51,230087,219841,219841,"","",145881,Bee,"","","","","","","","","",head and abdomen (pooled 5 females),RNA,04/2015,No,Belgium,PRJNA318490,Osmia cornuta
SRR3948563,Lauren Mee,2022-10-23 03:12:15 -0700,COMPLETE,4842,5105134,2091794,40.974,0,1.0,77.528,2.9,3682448,3679524,2854922,"","",985950,Bee,"","","","","","","","","",whole body,RNA,03/2014,No,Panama,PRJNA331103,Megalopta genalis
SRR3948564,Lauren Mee,2022-10-23 03:12:41 -0700,COMPLETE,4490,5283760,2067582,39.131,0,1.0,73.968,3.87,3993920,3991248,2954206,"","",763560,Bee,"","","","","","","","","",whole body,RNA,05/2014,No,Panama,PRJNA331103,Megalopta genalis
SRR3948566,Lauren Mee,2022-10-23 03:13:01 -0700,COMPLETE,4192,4029764,984532,24.432,0,1.0,68.141,2.19,2520152,2513018,1717268,"","",783196,Bee,"","","","","","","","","",whole body,RNA,07/2014,No,Panama,PRJNA331103,Megalopta genalis
SRR3948568,Lauren Mee,2022-10-23 03:13:18 -0700,COMPLETE,4297,5701528,2579408,45.241,0,1.0,77.842,3.18,4025444,4020818,3133504,"","",986426,Bee,"","","","","","","","","",whole body,RNA,05/2014,No,Panama,PRJNA331103,Megalopta genalis
SRR3948570,Lauren Mee,2022-10-23 03:13:39 -0700,COMPLETE,4147,4275254,1648034,38.548,0,1.0,75.42,2.82,2798486,2793998,2110610,"","",749048,Bee,"","","","","","","","","",whole body,RNA,05/2014,No,Panama,PRJNA331103,Megalopta genalis
SRR3948572,Lauren Mee,2022-10-23 03:13:57 -0700,COMPLETE,4627,5163908,1436780,27.824,0,1.0,78.979,2.82,3571382,3565908,2820628,"","",998782,Bee,"","","","","","","","","",whole body,RNA,05/2014,No,Panama,PRJNA331103,Megalopta genalis
SRR3948575,Lauren Mee,2022-10-23 03:14:16 -0700,COMPLETE,4451,2978640,1027222,34.486,0,1.0,76.075,1.98,2270700,2266594,1727428,"","",874296,Bee,"","","","","","","","","",whole body,RNA,06/2014,No,Panama,PRJNA331103,Megalopta genalis
SRR3948577,Lauren Mee,2022-10-23 03:14:33 -0700,COMPLETE,4748,3757758,1639086,43.619,0,1.0,74.904,2.11,2740224,2737042,2052524,"","",970802,Bee,"","","","","","","","","",whole body,RNA,07/2014,No,Panama,PRJNA331103,Megalopta genalis
SRR6148364,Lauren Mee,2022-10-23 03:14:51 -0700,COMPLETE,5652,1924698,1196690,62.175,0,1.0,83.257,1.25,1529294,1496916,1273242,"","",1021612,Bee,"","","","","","","","","",pool of heads and abdomen,RNA,04/2015,No,Belgium,PRJNA411946,Osmia cornuta
SRR6148379,Lauren Mee,2022-10-23 03:15:11 -0700,COMPLETE,5223,1865170,891978,47.823,0,1.0,69.232,1.23,1360792,1280284,942108,"","",765202,Bee,"","","","","","","","","",pool of heads and abdomen,RNA,05/2015,No,Belgium,PRJNA411946,Osmia bicornis
SRR13442813,Lauren Mee,2022-10-24 07:58:04 -0700,COMPLETE,7536,26540775,19795850,74.587,0,0.228609,100.0,5.13,25087832,25087829,25087829,"","",4886699,Bee,"","","","","","","","","",whole body,RNA,04/2017,No,Australia,PRJNA687066,Lasioglossum
SRR6148371,Lauren Mee,2022-10-24 07:59:05 -0700,COMPLETE,10506,3231734,2107056,65.199,0,1.0,81.264,1.26,2738910,2654502,2225746,"","",1767070,Bee,"","","","","","","","","",pool of heads and abdomen,RNA,04/2015,No,Belgium,PRJNA411946,Osmia cornuta
SRR6148375,Lauren Mee,2022-10-24 07:59:51 -0700,COMPLETE,5656,1940920,1132512,58.349,0,1.0,80.375,1.24,1500532,1477990,1206046,"","",973450,Bee,"","","","","","","","","",pool of heads and abdomen,RNA,04/2015,No,Belgium,PRJNA411946,Osmia cornuta
SRR9676054,Lauren Mee,2022-10-24 08:00:09 -0700,COMPLETE,4947,13952668,1542026,11.052,0,1.0,67.883,1.89,5776586,5776226,3921314,"","",2079414,Bee,"","","","","","","","","",whole body,RNA,08/2011,No,"Utah, USA",PRJNA553801,Osmia lignaria
SRR9676058,Lauren Mee,2022-10-24 08:00:57 -0700,COMPLETE,5205,18661878,878254,4.706,0,1.0,62.544,2.65,6444552,6444156,4030650,"","",1523492,Bee,"","","","","","","","","",whole body,RNA,08/2011,No,"Utah, USA",PRJNA553801,Osmia lignaria
SRR9676059,Lauren Mee,2022-10-24 08:01:57 -0700,COMPLETE,6238,19591782,1508084,7.698,0,1.0,64.278,2.12,6827388,6827104,4388490,"","",2065252,Bee,"","","","","","","","","",whole body,RNA,08/2011,No,"Utah, USA",PRJNA553801,Osmia lignaria
SRR1503122,Lauren Mee,2022-10-24 08:11:57 -0700,COMPLETE,14860,14979904,8715277,58.18,0,0.300972,78.634,1.3,13443300,13443294,10570956,"","",8118254,Bee,"","","","","","","","","",whole body,RNA,07/2011,No,Germany,PRJNA252319,Thyreus orbatus
SRR1503136,Lauren Mee,2022-10-24 08:12:52 -0700,COMPLETE,12986,11652430,6712825,57.609,0,0.364576,86.798,1.21,9392680,9392672,8152610,"","",6744686,Bee,"","","","","","","","","",whole body,RNA,04/2011,No,Germany,PRJNA252333,Xylocopa violacea
SRR11426431,Lauren Mee,2022-10-24 08:33:32 -0700,COMPLETE,9005,34286724,27421379,79.977,0,0.0881081,96.543,1.21,31097020,30997168,30021858,"","",24798612,Bee,"","","","","","","","","",whole body (pool of 6),RNA,01/2014,No,Brazil,PRJNA615177,Tetragonisca angustula
SRR11426433,Lauren Mee,2022-10-24 08:34:42 -0700,COMPLETE,9738,33537372,27097651,80.798,0,0.0895281,96.642,1.21,30522532,30444104,29497652,"","",24318196,Bee,"","","","","","","","","",whole body (pool of 6),RNA,01/2014,No,Brazil,PRJNA615177,Tetragonisca angustula
SRR11440494,Lauren Mee,2022-10-24 08:35:51 -0700,COMPLETE,7338,40678722,30870968,75.89,42,0.0810727,89.122,1.27,38028364,33891474,33891474,"","",26653698,Bee,"","","","","","","","","",whole body (pool of 6),RNA,01/2014,No,Brazil,PRJNA615177,Tetragonisca angustula
SRR13442814,Lauren Mee,2022-10-24 08:37:01 -0700,COMPLETE,7312,22330569,20477164,91.7,0,0.193205,100.0,3.78,21789442,21789442,21789442,"","",5761123,Bee,"","","","","","","","","",whole body,RNA,04/2017,No,Australia,PRJNA687066,Tetragonula carbonaria
SRR13442818,Lauren Mee,2022-10-24 08:37:53 -0700,COMPLETE,7169,9922033,8226397,82.91,0,0.41587,100.0,3.48,9349397,9349396,9349396,"","",2683017,Bee,"","","","","","","","","",whole body,RNA,04/2017,No,Australia,PRJNA687066,Tetragonula carbonaria
SRR13442830,Lauren Mee,2022-10-24 08:38:20 -0700,COMPLETE,9243,21269906,19652432,92.395,0,0.195995,100.0,3.92,20754353,20754353,20754353,"","",5291396,Bee,"","","","","","","","","",whole body,RNA,04/2017,No,Australia,PRJNA687066,Tetragonula carbonaria
SRR11426432,Lauren Mee,2022-10-24 09:05:38 -0700,COMPLETE,9748,18102076,15735713,86.928,0,0.151577,95.043,1.2,17453944,17295366,16588812,"","",13825262,Bee,"","","","","","","","","",whole body (pool of 6),RNA,01/2014,No,Brazil,PRJNA615177,Tetragonisca angustula
SRR11440495,Lauren Mee,2022-10-24 09:06:20 -0700,COMPLETE,8014,17180924,14952487,87.03,0,0.194755,96.358,1.45,16362822,16298158,15766932,"","",10854018,Bee,"","","","","","","","","",whole body (pool of 6),RNA,01/2014,No,Brazil,PRJNA615177,Tetragonisca angustula
SRR11440496,Lauren Mee,2022-10-24 09:06:59 -0700,COMPLETE,7269,22797366,19965179,87.577,0,0.166073,96.583,1.64,21704688,21643838,20963008,"","",12765164,Bee,"","","","","","","","","",whole body (pool of 6),RNA,01/2014,No,Brazil,PRJNA615177,Tetragonisca angustula
